dstport,protocol,tag
4,aris,SV_4
4,hopopt,SV_3
2,ethernet,SV_2
5,uti,SV_5
1,manet,SV_2
4,compaq-peer,SV_3
4,wb-mon,SV_2
2,wb-expak,SV_5
5,sctp,SV_4
2,compaq-peer,SV_2
4,prm,SV_3
1,mpls-in-ip,SV_2
3,tp++,SV_5
5,cphb,SV_2
1,3pc,SV_3
5,qnx,SV_3
2,dgp,SV_3
5,idrp,SV_2
3,merit-inp,SV_3
3,i-nlsp,SV_2
4,dsr,SV_2
1,nsh,SV_4
2,smp,SV_5
4,visa,SV_3
1,encap,SV_4
1,vines,SV_2
5,sun-nd,SV_3
5,pgm,SV_4
2,ipv4,SV_1
5,ipcv,SV_5
2,eigrp,SV_4
1,ah,SV_3
3,idpr,SV_1
4,ipv6-opts,SV_1
4,crtp,SV_5
1,dsr,SV_1
2,aris,SV_5
1,snp,SV_2
1,igp,SV_4
2,dsr,SV_3
5,mobility header,SV_4
1,mobility header,SV_1
2,leaf-2,SV_3
3,prm,SV_2
3,pvp,SV_5
3,min-ipv4,SV_4
4,sdrp,SV_4
2,encap,SV_3
1,ippc,SV_4
3,chaos,SV_5
3,cpnx,SV_1
3,swipe (deprecated),SV_3
5,3pc,SV_2
2,ipip,SV_5
1,pim,SV_2
2,ipv6-nonxt,SV_4
4,anyhostprotocol,SV_2
1,scps,SV_2
3,nvp-ii,SV_5
1,aris,SV_4
1,ddp,SV_1
1,sat-mon,SV_1
2,cbt,SV_4
4,pvp,SV_3
1,br-sat-mon,SV_3
2,br-sat-mon,SV_2
4,scc-sp,SV_2
2,rsvp-e2e-ignore,SV_1
4,ipx-in-ip,SV_5
4,mfe-nsp,SV_3
3,icmp,SV_2
3,hopopt,SV_5
5,encap,SV_5
1,skip,SV_2
3,ddp,SV_2
2,emcon,SV_1
2,ddp,SV_5
4,irtp,SV_4
4,iso-ip,SV_5
5,leaf-2,SV_1
5,crudp,SV_5
3,min-ipv4,SV_3
5,br-sat-mon,SV_2
2,fire,SV_4
2,l2tp,SV_3
1,mpls-in-ip,SV_3
5,compaq-peer,SV_3
5,sm (deprecated),SV_1
5,ipv6-route,SV_5
1,skip,SV_4
1,larp,SV_1
1,ipv6-icmp,SV_2
5,ddp,SV_1
4,egp,SV_2
4,iso-ip,SV_1
4,esp,SV_1
4,iatp,SV_3
4,eigrp,SV_1
3,aris,SV_3
4,crudp,SV_3
3,trunk-1,SV_5
1,encap,SV_1
2,iatp,SV_1
4,ipip,SV_2
1,ipcomp,SV_2
1,ipx-in-ip,SV_5
4,encap,SV_4
5,udp,SV_5
1,iptm,SV_5
5,isis over ipv4,SV_2
3,sps,SV_3
2,hmp,SV_4
1,il,SV_4
3,scps,SV_2
2,rsvp-e2e-ignore,SV_4
4,xnet,SV_2
5,ethernet,SV_3
3,crudp,SV_4
1,ippc,SV_3
3,anylocalnetwork,SV_3
1,rdp,SV_1
5,mfe-nsp,SV_2
2,ipv6,SV_3
1,manet,SV_4
1,tlsp,SV_1
5,emcon,SV_3
4,pvp,SV_5
3,anydfs,SV_4
5,br-sat-mon,SV_3
5,vmtp,SV_5
5,mobility header,SV_4
1,anyprivencscheme,SV_3
2,ipv6-route,SV_4
1,iatp,SV_3
5,ipv6-frag,SV_5
4,cpnx,SV_2
5,iso-ip,SV_2
2,ipv6-opts,SV_4
5,ipcv,SV_1
3,swipe (deprecated),SV_2
4,idpr-cmtp,SV_3
3,bna,SV_1
1,scc-sp,SV_2
5,vrrp,SV_1
4,i-nlsp,SV_3
5,sscopmce,SV_5
3,xns-idp,SV_1
4,i-nlsp,SV_3
3,ah,SV_5
2,ospfigp,SV_1
5,irtp,SV_1
5,fc,SV_4
4,ipcomp,SV_2
4,ipv6-route,SV_2
1,ipv6-icmp,SV_4
3,pipe,SV_1
3,anyhostprotocol,SV_5
3,cftp,SV_5
5,il,SV_1
4,tcf,SV_3
1,udplite,SV_2
1,sctp,SV_5
5,ipcomp,SV_4
2,compaq-peer,SV_3
4,hmp,SV_3
2,rvd,SV_1
1,udp,SV_3
3,srp,SV_3
2,anyhostprotocol,SV_1
3,ipip,SV_4
2,ipv6-nonxt,SV_1
4,leaf-1,SV_1
4,smp,SV_5
2,pgm,SV_2
3,scps,SV_2
5,swipe (deprecated),SV_2
2,compaq-peer,SV_4
4,mtp,SV_5
2,cftp,SV_4
1,stp,SV_5
5,tcp,SV_4
2,ax.25,SV_3
1,mobility header,SV_2
1,ipip,SV_5
3,rsvp,SV_3
5,pvp,SV_4
1,xns-idp,SV_4
3,snp,SV_3
4,ipv6-frag,SV_3
2,il,SV_3
2,smp,SV_5
4,xnet,SV_5
4,ipx-in-ip,SV_4
5,pgm,SV_4
4,ipx-in-ip,SV_3
4,br-sat-mon,SV_3
3,pipe,SV_5
2,pim,SV_2
5,scc-sp,SV_1
1,dgp,SV_4
1,rdp,SV_3
4,etherip,SV_2
1,cftp,SV_5
2,anyprivencscheme,SV_5
3,gre,SV_2
3,ipcv,SV_4
5,nsh,SV_5
2,manet,SV_4
2,sdrp,SV_3
1,uti,SV_3
5,qnx,SV_1
5,iso-ip,SV_4
2,pup,SV_4
5,stp,SV_2
3,egp,SV_4
5,bbn-rcc-mon,SV_2
4,merit-inp,SV_3
5,fire,SV_4
1,ipv6-opts,SV_4
1,esp,SV_1
3,ethernet,SV_2
4,ptp,SV_5
3,gre,SV_3
2,leaf-2,SV_4
2,rohc,SV_2
4,rsvp,SV_4
5,min-ipv4,SV_3
1,qnx,SV_3
3,gre,SV_4
3,icmp,SV_2
4,crudp,SV_3
3,ipcv,SV_1
5,dgp,SV_2
5,ifmp,SV_2
2,crtp,SV_2
3,leaf-2,SV_4
1,ipcomp,SV_5
4,st,SV_2
3,cphb,SV_1
4,qnx,SV_2
1,mobility header,SV_5
3,sctp,SV_4
1,irtp,SV_1
2,st,SV_2
1,sdrp,SV_3
2,sprite-rpc,SV_2
4,skip,SV_3
3,min-ipv4,SV_1
4,iptm,SV_3
2,netblt,SV_4
3,any0hopprotocol,SV_4
1,xns-idp,SV_3
5,nsh,SV_1
1,tlsp,SV_2
2,qnx,SV_3
4,sun-nd,SV_3
2,bna,SV_2
3,iso-ip,SV_2
2,wb-expak,SV_1
4,scc-sp,SV_1
5,eigrp,SV_4
4,iso-tp4,SV_4
5,ipip,SV_5
2,mtp,SV_1
2,wb-expak,SV_2
4,pvp,SV_1
4,ggp,SV_3
5,trunk-1,SV_2
4,aggfrag,SV_3
2,a/n,SV_3
4,ipx-in-ip,SV_5
3,irtp,SV_3
3,ethernet,SV_5
3,cpnx,SV_4
4,pgm,SV_1
2,ipv6-opts,SV_5
2,sm (deprecated),SV_3
3,idpr,SV_4
4,esp,SV_1
3,il,SV_3
3,tcf,SV_2
4,secure-vmtp,SV_1
2,netblt,SV_1
4,pgm,SV_4
4,crtp,SV_2
1,merit-inp,SV_1
5,sat-mon,SV_2
3,fc,SV_1
4,igmp,SV_2
4,rsvp-e2e-ignore,SV_4
1,udplite,SV_2
4,min-ipv4,SV_5
3,cftp,SV_4
1,vmtp,SV_2
3,larp,SV_1
1,mux,SV_5
4,bna,SV_5
2,ethernet,SV_2
3,cphb,SV_2
4,sprite-rpc,SV_5
4,icmp,SV_4
5,gre,SV_4
3,rdp,SV_1
2,aggfrag,SV_2
3,fc,SV_3
3,pgm,SV_4
4,gre,SV_1
5,mobility header,SV_3
4,sat-expak,SV_1
2,wb-expak,SV_5
1,anyprivencscheme,SV_2
5,tcp,SV_3
4,fire,SV_1
1,iso-tp4,SV_4
4,rohc,SV_1
1,cftp,SV_4
2,narp,SV_1
2,br-sat-mon,SV_5
3,cbt,SV_2
4,br-sat-mon,SV_4
4,micp (deprecated),SV_1
1,gmtp,SV_3
5,sm (deprecated),SV_1
4,wb-expak,SV_3
4,wesp,SV_5
2,anylocalnetwork,SV_1
1,iptm,SV_4
1,sps,SV_4
1,hmp,SV_3
5,wesp,SV_3
4,xnet,SV_5
3,manet,SV_2
2,pnni,SV_5
2,ipcomp,SV_2
5,vines,SV_5
5,sun-nd,SV_2
2,crudp,SV_3
4,shim6,SV_3
2,eigrp,SV_4
3,ipv6-route,SV_4
1,ah,SV_4
2,ipv6-frag,SV_3
2,stp,SV_3
2,mobility header,SV_4
3,rdp,SV_5
5,compaq-peer,SV_5
2,rohc,SV_2
2,ipcomp,SV_5
1,ethernet,SV_4
5,rohc,SV_4
1,egp,SV_3
3,anyprivencscheme,SV_4
2,leaf-2,SV_5
5,xnet,SV_1
4,netblt,SV_3
4,sdrp,SV_1
5,idpr,SV_1
3,iptm,SV_2
3,cftp,SV_2
3,fire,SV_4
4,3pc,SV_2
1,bbn-rcc-mon,SV_5
5,ggp,SV_2
2,cpnx,SV_3
3,ethernet,SV_4
1,idrp,SV_5
3,rsvp,SV_2
2,xnet,SV_2
5,tcf,SV_3
3,dccp,SV_5
3,kryptolan,SV_2
1,visa,SV_4
4,eigrp,SV_5
3,mobility header,SV_1
2,idrp,SV_5
4,netblt,SV_5
4,prm,SV_4
4,nvp-ii,SV_4
2,stp,SV_5
3,visa,SV_3
4,ipv6,SV_5
2,dsr,SV_5
5,uti,SV_1
3,hip,SV_1
3,pim,SV_3
2,sps,SV_5
4,icmp,SV_5
3,wb-mon,SV_2
5,il,SV_2
1,cbt,SV_4
1,emcon,SV_5
5,merit-inp,SV_4
1,pipe,SV_3
4,sctp,SV_3
5,sdrp,SV_2
2,hmp,SV_5
3,mtp,SV_3
2,shim6,SV_3
5,scps,SV_2
1,idpr,SV_3
3,ddx,SV_4
5,ospfigp,SV_1
5,mfe-nsp,SV_2
4,fire,SV_4
2,nvp-ii,SV_4
2,cftp,SV_5
4,snp,SV_5
5,wb-mon,SV_1
3,ddp,SV_1
3,sm (deprecated),SV_1
1,idpr-cmtp,SV_1
4,gre,SV_2
2,rsvp,SV_1
4,ospfigp,SV_1
3,ipv6-nonxt,SV_5
4,stp,SV_5
5,ipv6-opts,SV_4
4,trunk-1,SV_5
3,ipx-in-ip,SV_2
2,icmp,SV_2
1,iso-tp4,SV_4
5,bbn-rcc-mon,SV_2
5,dccp,SV_1
5,smp,SV_4
2,skip,SV_5
2,pipe,SV_5
4,etherip,SV_3
5,snp,SV_5
4,ipv6-route,SV_4
4,kryptolan,SV_1
4,chaos,SV_1
2,sdrp,SV_5
1,idrp,SV_4
2,ipv6-frag,SV_1
4,micp (deprecated),SV_2
4,idrp,SV_2
2,cphb,SV_4
4,anyprivencscheme,SV_1
5,smp,SV_3
4,xns-idp,SV_1
1,tcf,SV_4
1,cftp,SV_5
4,ipv4,SV_3
2,pnni,SV_2
2,pim,SV_3
4,isis over ipv4,SV_3
4,ipcomp,SV_4
1,aris,SV_4
4,br-sat-mon,SV_4
3,sat-mon,SV_4
5,l2tp,SV_4
2,igp,SV_3
2,vrrp,SV_5
2,ipv6,SV_2
3,ddx,SV_3
2,dsr,SV_2
2,skip,SV_3
1,ipip,SV_5
4,srp,SV_5
4,ddx,SV_2
2,any0hopprotocol,SV_2
3,ipv6-opts,SV_3
5,prm,SV_1
4,kryptolan,SV_5
3,sdrp,SV_5
5,qnx,SV_3
5,sdrp,SV_4
1,udp,SV_1
3,rsvp,SV_2
4,igmp,SV_2
5,prm,SV_3
3,stp,SV_1
4,tcp,SV_3
2,vrrp,SV_2
2,wsn,SV_3
4,igp,SV_2
5,ah,SV_3
5,ipv6-opts,SV_2
3,wesp,SV_5
2,etherip,SV_3
4,snp,SV_4
2,anydfs,SV_3
1,pim,SV_2
1,tcf,SV_4
5,hopopt,SV_3
1,icmp,SV_4
5,anylocalnetwork,SV_2
1,anyhostprotocol,SV_1
1,wsn,SV_3
2,dcn-meas,SV_5
2,3pc,SV_4
4,br-sat-mon,SV_4
3,udplite,SV_2
3,cphb,SV_2
4,rsvp-e2e-ignore,SV_3
2,ggp,SV_2
1,st,SV_5
1,hip,SV_3
5,nvp-ii,SV_1
2,ipcv,SV_2
1,mfe-nsp,SV_3
4,netblt,SV_2
2,hip,SV_1
1,mux,SV_3
3,hopopt,SV_2
4,idpr,SV_3
2,fire,SV_3
2,cbt,SV_4
5,ipv6-nonxt,SV_4
1,iplt,SV_3
4,sm (deprecated),SV_1
5,anyprivencscheme,SV_4
5,trunk-2,SV_5
3,trunk-1,SV_1
5,anydfs,SV_1
5,ipv6-nonxt,SV_2
1,cbt,SV_4
2,encap,SV_2
4,srp,SV_3
3,anyhostprotocol,SV_2
2,aris,SV_1
2,leaf-2,SV_2
1,rsvp-e2e-ignore,SV_5
1,uti,SV_2
1,rvd,SV_2
1,idpr,SV_4
4,nsh,SV_3
2,xnet,SV_2
2,ax.25,SV_4
5,anyprivencscheme,SV_4
1,ddx,SV_1
3,srp,SV_4
4,igp,SV_4
3,wb-mon,SV_4
4,l2tp,SV_3
2,tcp,SV_5
3,visa,SV_1
4,dccp,SV_1
1,qnx,SV_4
5,ipv6-opts,SV_3
4,crudp,SV_1
4,ipv4,SV_4
4,hmp,SV_2
5,rdp,SV_4
3,etherip,SV_3
5,mpls-in-ip,SV_1
3,scps,SV_3
5,pvp,SV_3
3,nsfnet-igp,SV_1
5,dgp,SV_3
2,mpls-in-ip,SV_5
5,anyhostprotocol,SV_4
1,ipv4,SV_5
2,ipv6-frag,SV_1
4,ippc,SV_3
1,rohc,SV_1
1,nvp-ii,SV_4
1,netblt,SV_5
1,xnet,SV_5
5,min-ipv4,SV_1
3,leaf-2,SV_2
2,reserved,SV_5
2,iptm,SV_1
3,tcp,SV_4
1,anylocalnetwork,SV_4
4,tp++,SV_3
2,ipv6-nonxt,SV_4
5,igmp,SV_5
4,st,SV_1
2,sdrp,SV_5
1,wsn,SV_3
2,snp,SV_5
2,ipip,SV_2
2,wb-mon,SV_2
2,st,SV_1
3,wb-mon,SV_4
4,egp,SV_2
2,hip,SV_5
2,sm (deprecated),SV_4
5,cpnx,SV_1
4,wesp,SV_2
5,pnni,SV_1
3,vmtp,SV_3
5,idpr,SV_5
1,tcp,SV_5
3,br-sat-mon,SV_2
2,reserved,SV_5
2,pgm,SV_3
4,ethernet,SV_4
3,any0hopprotocol,SV_3
3,ippc,SV_2
2,vines,SV_4
2,prm,SV_2
2,pvp,SV_1
2,qnx,SV_2
5,tcp,SV_5
1,icmp,SV_1
4,ippc,SV_5
1,mpls-in-ip,SV_1
4,ipcv,SV_5
5,ipcomp,SV_4
5,ipv4,SV_5
3,gre,SV_2
3,leaf-2,SV_4
2,pnni,SV_5
4,cftp,SV_3
5,tp++,SV_3
2,isis over ipv4,SV_5
4,sun-nd,SV_5
4,pup,SV_2
3,dsr,SV_4
2,ospfigp,SV_4
3,chaos,SV_3
5,srp,SV_4
1,wb-mon,SV_1
2,iplt,SV_3
4,nsfnet-igp,SV_2
3,ah,SV_5
5,idrp,SV_4
1,leaf-1,SV_2
4,iso-tp4,SV_5
3,sat-expak,SV_4
1,narp,SV_2
3,anyhostprotocol,SV_3
4,rdp,SV_5
3,any0hopprotocol,SV_2
1,wb-expak,SV_3
3,tlsp,SV_1
4,rohc,SV_2
3,larp,SV_5
5,cftp,SV_3
5,anyhostprotocol,SV_3
4,hmp,SV_4
1,hmp,SV_1
5,vines,SV_5
1,ifmp,SV_2
3,wb-expak,SV_2
2,dgp,SV_5
2,ipx-in-ip,SV_2
5,iplt,SV_5
3,st,SV_3
5,iplt,SV_5
4,dgp,SV_1
2,ifmp,SV_3
5,mpls-in-ip,SV_3
1,reserved,SV_3
4,dcn-meas,SV_1
3,il,SV_2
3,pim,SV_2
4,ddx,SV_1
5,tcf,SV_5
1,idpr-cmtp,SV_3
2,scc-sp,SV_5
5,ddx,SV_1
4,xns-idp,SV_4
2,sscopmce,SV_3
3,qnx,SV_4
3,gmtp,SV_3
5,mux,SV_1
5,crudp,SV_2
5,netblt,SV_4
5,swipe (deprecated),SV_2
3,a/n,SV_1
2,wesp,SV_1
5,trunk-1,SV_1
2,bna,SV_4
2,iatp,SV_5
3,iatp,SV_2
3,ptp,SV_2
1,kryptolan,SV_3
2,ipcv,SV_5
5,il,SV_2
2,isis over ipv4,SV_3
5,shim6,SV_5
3,gmtp,SV_1
4,tcp,SV_5
3,wesp,SV_5
1,secure-vmtp,SV_4
1,br-sat-mon,SV_4
3,ipip,SV_2
4,ipv6-nonxt,SV_4
2,nsfnet-igp,SV_1
3,tcf,SV_4
2,dccp,SV_1
4,irtp,SV_4
4,etherip,SV_3
2,sat-expak,SV_2
2,prm,SV_1
2,isis over ipv4,SV_1
3,cphb,SV_2
5,tcf,SV_1
2,dsr,SV_3
4,st,SV_4
4,xns-idp,SV_3
4,rsvp,SV_4
3,st,SV_3
4,ipv6-frag,SV_1
4,hmp,SV_2
2,3pc,SV_2
2,crudp,SV_4
5,ddp,SV_4
3,fc,SV_4
5,nsfnet-igp,SV_4
3,wb-mon,SV_5
1,sat-mon,SV_1
5,aris,SV_3
2,ipv6-opts,SV_4
2,rdp,SV_5
3,rsvp-e2e-ignore,SV_2
1,vrrp,SV_4
5,xnet,SV_2
1,micp (deprecated),SV_2
3,igp,SV_4
5,mfe-nsp,SV_2
3,dccp,SV_5
3,cbt,SV_2
3,nvp-ii,SV_5
2,sscopmce,SV_4
2,compaq-peer,SV_2
2,trunk-1,SV_3
5,fc,SV_3
3,tp++,SV_5
4,smp,SV_1
2,igp,SV_3
5,ippc,SV_2
5,pnni,SV_3
4,aggfrag,SV_4
1,srp,SV_5
4,skip,SV_3
5,eigrp,SV_2
3,scps,SV_4
1,mpls-in-ip,SV_3
3,l2tp,SV_1
1,aggfrag,SV_1
4,ipcomp,SV_2
3,crtp,SV_5
3,ethernet,SV_3
2,netblt,SV_1
4,udp,SV_2
5,ipv6-route,SV_5
4,mobility header,SV_1
2,xtp,SV_4
5,tcf,SV_2
3,ah,SV_5
4,icmp,SV_2
5,sprite-rpc,SV_5
3,dsr,SV_4
5,rsvp,SV_4
3,ptp,SV_3
1,cbt,SV_4
5,ipv6-route,SV_5
5,fire,SV_2
4,vrrp,SV_1
1,aris,SV_4
3,anyprivencscheme,SV_2
5,trunk-2,SV_5
4,ippc,SV_5
1,wb-mon,SV_3
1,ipv6-opts,SV_5
2,udplite,SV_5
3,hmp,SV_1
3,i-nlsp,SV_3
2,aggfrag,SV_2
5,ipv6-nonxt,SV_2
1,udplite,SV_4
4,iptm,SV_1
2,pup,SV_2
2,uti,SV_1
1,ipv6-nonxt,SV_1
4,swipe (deprecated),SV_1
3,shim6,SV_1
2,tp++,SV_3
3,3pc,SV_1
1,cbt,SV_5
2,ipcv,SV_5
1,crtp,SV_3
5,udplite,SV_2
2,secure-vmtp,SV_3
2,pvp,SV_1
2,cpnx,SV_4
4,mpls-in-ip,SV_5
4,scc-sp,SV_4
2,ipv6-icmp,SV_4
4,leaf-2,SV_1
4,iatp,SV_1
3,iso-ip,SV_1
2,cphb,SV_4
4,fire,SV_4
4,tcp,SV_5
5,wsn,SV_5
5,idpr-cmtp,SV_5
4,iatp,SV_1
5,dccp,SV_4
2,mobility header,SV_5
2,idpr-cmtp,SV_4
1,micp (deprecated),SV_4
5,anylocalnetwork,SV_1
2,i-nlsp,SV_4
4,ipv4,SV_5
5,egp,SV_1
5,ipv6-opts,SV_2
4,sps,SV_3
5,ipv6-frag,SV_1
4,wb-mon,SV_4
3,mfe-nsp,SV_5
2,ethernet,SV_4
3,vrrp,SV_4
2,mtp,SV_2
5,snp,SV_3
2,uti,SV_3
2,uti,SV_2
1,ipv6-frag,SV_4
4,larp,SV_4
4,il,SV_4
1,pup,SV_3
4,rdp,SV_3
1,3pc,SV_5
3,cbt,SV_2
5,rdp,SV_4
2,anyhostprotocol,SV_5
2,micp (deprecated),SV_2
5,l2tp,SV_2
1,ifmp,SV_4
4,nvp-ii,SV_1
1,sun-nd,SV_1
4,ipx-in-ip,SV_5
4,udp,SV_4
4,netblt,SV_2
1,3pc,SV_5
5,visa,SV_5
3,udp,SV_2
2,xns-idp,SV_3
4,ethernet,SV_1
4,sat-expak,SV_2
2,gmtp,SV_3
1,merit-inp,SV_1
4,tp++,SV_3
2,sm (deprecated),SV_1
2,rohc,SV_1
1,anyprivencscheme,SV_2
3,ipx-in-ip,SV_2
2,ipcv,SV_1
3,gmtp,SV_3
4,chaos,SV_2
5,rsvp-e2e-ignore,SV_4
2,netblt,SV_3
4,visa,SV_5
5,crudp,SV_3
1,st,SV_4
2,nsh,SV_5
1,ipip,SV_1
5,mtp,SV_1
1,dccp,SV_3
2,ddx,SV_1
5,micp (deprecated),SV_4
5,ipv6-icmp,SV_1
4,dgp,SV_4
1,wb-mon,SV_2
1,idpr,SV_5
4,rvd,SV_4
5,l2tp,SV_3
1,ipv6-nonxt,SV_4
2,vmtp,SV_4
5,xnet,SV_1
1,narp,SV_4
4,pup,SV_2
1,i-nlsp,SV_4
1,ifmp,SV_2
1,igp,SV_2
1,igmp,SV_3
1,snp,SV_2
2,ptp,SV_2
3,cbt,SV_5
5,st,SV_4
2,gmtp,SV_4
5,l2tp,SV_2
2,merit-inp,SV_3
4,ipcomp,SV_3
5,a/n,SV_2
3,3pc,SV_4
2,encap,SV_3
4,il,SV_5
3,dsr,SV_4
4,ipv6-opts,SV_1
2,ipv6-opts,SV_3
3,ptp,SV_1
3,irtp,SV_2
5,crudp,SV_5
4,etherip,SV_5
4,fc,SV_4
3,xns-idp,SV_2
2,sm (deprecated),SV_1
1,cbt,SV_1
3,hopopt,SV_2
1,ipv6-route,SV_1
4,nsfnet-igp,SV_4
5,anydfs,SV_5
4,netblt,SV_1
5,igp,SV_4
3,mux,SV_3
3,tlsp,SV_5
2,xnet,SV_1
1,cpnx,SV_5
2,pup,SV_5
1,br-sat-mon,SV_5
4,bna,SV_3
5,br-sat-mon,SV_3
2,any0hopprotocol,SV_3
1,rsvp-e2e-ignore,SV_5
5,swipe (deprecated),SV_1
3,sscopmce,SV_3
2,encap,SV_1
5,secure-vmtp,SV_2
3,srp,SV_2
2,egp,SV_3
3,dgp,SV_1
5,eigrp,SV_1
1,nsfnet-igp,SV_4
1,merit-inp,SV_1
2,iptm,SV_1
4,leaf-2,SV_2
4,mpls-in-ip,SV_3
3,anyhostprotocol,SV_4
4,leaf-1,SV_2
5,netblt,SV_5
3,min-ipv4,SV_5
2,mpls-in-ip,SV_2
3,aggfrag,SV_4
5,cphb,SV_3
5,micp (deprecated),SV_1
1,iplt,SV_4
4,cftp,SV_2
4,wsn,SV_4
5,any0hopprotocol,SV_1
5,wb-expak,SV_3
1,wb-expak,SV_4
4,etherip,SV_2
5,rohc,SV_1
2,l2tp,SV_4
1,netblt,SV_3
3,pvp,SV_3
4,leaf-2,SV_4
3,compaq-peer,SV_3
3,ifmp,SV_1
2,narp,SV_1
5,eigrp,SV_5
2,ddp,SV_2
1,min-ipv4,SV_5
3,mfe-nsp,SV_4
4,reserved,SV_5
5,wsn,SV_3
4,min-ipv4,SV_1
3,wesp,SV_5
1,swipe (deprecated),SV_4
3,aggfrag,SV_4
2,prm,SV_3
5,anylocalnetwork,SV_4
1,xnet,SV_5
3,ethernet,SV_2
3,pim,SV_4
1,ipv6,SV_1
1,3pc,SV_1
4,idpr,SV_3
3,hip,SV_4
4,sm (deprecated),SV_4
3,ddx,SV_2
4,wsn,SV_2
3,ah,SV_3
1,hopopt,SV_2
4,ospfigp,SV_2
4,ddx,SV_4
4,ipv6-opts,SV_3
5,ggp,SV_4
5,xnet,SV_5
1,anyhostprotocol,SV_5
3,etherip,SV_3
5,ipcomp,SV_1
5,wesp,SV_4
2,chaos,SV_5
3,mobility header,SV_5
3,sps,SV_4
4,iso-tp4,SV_2
5,leaf-1,SV_4
1,tlsp,SV_5
4,scps,SV_5
1,igmp,SV_2
1,pgm,SV_1
1,micp (deprecated),SV_1
5,vmtp,SV_1
2,etherip,SV_4
2,swipe (deprecated),SV_2
4,mpls-in-ip,SV_1
3,bbn-rcc-mon,SV_3
3,udp,SV_2
2,ipx-in-ip,SV_2
1,gmtp,SV_1
1,xtp,SV_4
4,anylocalnetwork,SV_1
2,encap,SV_5
2,wesp,SV_1
2,swipe (deprecated),SV_5
1,skip,SV_2
1,ptp,SV_3
2,qnx,SV_4
3,ax.25,SV_5
5,aggfrag,SV_5
2,anylocalnetwork,SV_5
4,chaos,SV_3
5,min-ipv4,SV_1
2,reserved,SV_3
1,pim,SV_5
2,ggp,SV_3
1,crtp,SV_2
1,ipv6-opts,SV_3
5,netblt,SV_5
4,aggfrag,SV_1
2,ospfigp,SV_4
5,kryptolan,SV_4
5,iso-tp4,SV_2
4,reserved,SV_4
2,iso-tp4,SV_2
5,snp,SV_4
1,idrp,SV_2
5,udplite,SV_1
1,visa,SV_5
2,prm,SV_3
2,merit-inp,SV_5
2,vmtp,SV_2
2,scps,SV_4
1,scps,SV_1
3,any0hopprotocol,SV_3
3,cftp,SV_5
5,i-nlsp,SV_3
4,hip,SV_2
5,igp,SV_1
4,qnx,SV_4
5,fc,SV_5
5,pim,SV_4
2,bna,SV_2
3,hopopt,SV_1
5,kryptolan,SV_1
1,iso-ip,SV_5
1,rsvp-e2e-ignore,SV_4
2,fire,SV_1
5,sat-expak,SV_4
2,micp (deprecated),SV_3
2,xnet,SV_2
1,mux,SV_2
3,rvd,SV_2
1,hopopt,SV_3
3,rsvp-e2e-ignore,SV_3
3,igp,SV_1
3,xns-idp,SV_5
5,igmp,SV_2
5,ipv4,SV_2
3,leaf-1,SV_2
3,ddp,SV_1
2,snp,SV_5
4,l2tp,SV_2
4,ah,SV_2
2,pgm,SV_3
2,trunk-2,SV_3
5,scps,SV_1
4,micp (deprecated),SV_4
3,cftp,SV_3
3,crtp,SV_1
5,swipe (deprecated),SV_3
3,tcf,SV_5
3,pipe,SV_4
3,iptm,SV_2
1,cphb,SV_3
2,mpls-in-ip,SV_4
3,igp,SV_2
4,argus (deprecated),SV_3
3,ipv6-route,SV_1
1,dgp,SV_5
5,stp,SV_1
4,pgm,SV_5
1,larp,SV_4
3,chaos,SV_2
2,prm,SV_2
1,emcon,SV_2
1,swipe (deprecated),SV_1
1,wesp,SV_3
2,smp,SV_4
4,igmp,SV_3
2,ipx-in-ip,SV_4
4,pipe,SV_3
2,sat-mon,SV_4
4,dsr,SV_3
2,a/n,SV_1
5,anyhostprotocol,SV_2
3,eigrp,SV_2
5,vmtp,SV_5
5,esp,SV_4
3,aris,SV_4
2,rsvp-e2e-ignore,SV_5
1,etherip,SV_1
5,cpnx,SV_5
2,tcf,SV_3
1,compaq-peer,SV_5
1,xtp,SV_1
5,larp,SV_5
1,idpr,SV_4
4,secure-vmtp,SV_1
1,dccp,SV_5
4,tcf,SV_5
2,iso-ip,SV_4
1,prm,SV_1
1,any0hopprotocol,SV_5
1,rdp,SV_2
1,sdrp,SV_4
5,fc,SV_3
1,xns-idp,SV_3
3,esp,SV_4
5,egp,SV_5
5,shim6,SV_4
4,igmp,SV_2
1,ipv6-nonxt,SV_3
1,dccp,SV_4
1,cpnx,SV_4
1,mux,SV_2
4,tcp,SV_4
4,anydfs,SV_5
3,vmtp,SV_1
4,shim6,SV_3
5,anyprivencscheme,SV_1
3,tp++,SV_3
5,kryptolan,SV_3
3,tcp,SV_4
1,rsvp,SV_1
5,larp,SV_3
5,ethernet,SV_4
1,leaf-2,SV_2
3,smp,SV_2
3,pup,SV_1
3,anyhostprotocol,SV_4
4,bna,SV_4
2,ipcv,SV_3
4,aggfrag,SV_1
2,tlsp,SV_5
4,compaq-peer,SV_1
1,udplite,SV_1
3,rdp,SV_2
5,wesp,SV_3
3,ddx,SV_5
3,ptp,SV_1
2,anyhostprotocol,SV_5
4,sun-nd,SV_2
3,chaos,SV_2
3,ipx-in-ip,SV_3
1,tcf,SV_4
5,idrp,SV_3
1,igp,SV_1
2,ipv6-nonxt,SV_3
4,argus (deprecated),SV_5
